ID_Pengeluaran,no,Tanggal,Jam,Nama Pengeluaran,Jenis,Kategori,Jumlah,Apakah Stok?,ID Bahan Baku,Qty
88efe77d,88,06/05/2026,09.01.26,Es,Pengeluaran Cafe,,5000,,,
a40cadcf,89,06/05/2026,09.01.38,Gula,Pengeluaran Cafe,,18500,,,
447c04b7,90,07/05/2026,09.16.50,Es kristal,Pengeluaran Cafe,,5000,,,
0baaec64,91,07/05/2026,09.17.03,Galon,Pengeluaran Cafe,,30000,,,
7799b6b9,92,07/05/2026,13.54.59,EZA,Casbon,,10000,,,
626b993c,93,07/05/2026,17.58.48,Nopal,Casbon,,30000,,,
50ece633,94,08/05/2026,08.36.19,Es kristal,Pengeluaran Cafe,,5000,,,
7ced6a86,95,08/05/2026,08.36.47,Foto copy,Pengeluaran Carwash,,5000,,,
bbf8f20b,96,09/05/2026,08.28.57,Print menu,Pengeluaran Cafe,,18000,,,
0b0de682,97,09/05/2026,08.43.47,Es kristal,Pengeluaran Cafe,,5000,,,
5737f8e9,98,09/05/2026,09.22.14,RAHMAN,Casbon,,100000,,,
fb1ff1da,99,09/05/2026,11.18.18,Skm,Pengeluaran Cafe,,45000,,,
a29b9c43,100,09/05/2026,11.18.47,Sarung tangan,Pengeluaran Carwash,,8000,,,
3325551a,101,09/05/2026,12.14.02,Ongkir kopi,Pengeluaran Cafe,,18000,,,
fe709a1b,102,09/05/2026,12.55.43,Teh,Pengeluaran Cafe,,6000,,,
52b6388e,103,09/05/2026,16.56.37,Bayar angga 10,Pengeluaran,,10000,,,
95fad191,104,09/05/2026,18.44.19,VICKY,Casbon,,200000,,,
4bcf6091,105,09/05/2026,18.47.35,Fery,Casbon,,100000,,,
2a665476,106,10/05/2026,09.01.32,Es kristal,Pengeluaran Cafe,,5000,,,
23132edd,107,10/05/2026,13.32.02,Cuter,Pengeluaran,,1500,,,
09405ea8,108,10/05/2026,14.14.05,Minyak,Pengeluaran Cafe,,23500,,,
f880fcf2,109,10/05/2026,17.51.56,Bayar angga 12,Pengeluaran,,12000,,,
b7d588f5,109,11/05/2026,08.48.36,Es batu,Pengeluaran Cafe,,5000,,,
a0c6d027,110,11/05/2026,10.29.47,Ayam cabe bawang,Pengeluaran Cafe,,68000,,,
0ba3ceba,111,11/05/2026,10.31.48,Jeruk nipis,Pengeluaran Cafe,,3000,,,
979711b5,112,11/05/2026,11.20.51,Tepung,Pengeluaran Cafe,,7000,,,
441b7c54,113,11/05/2026,14.05.40,Bagus,Casbon,,30000,,,
01d72d40,114,11/05/2026,16.01.21,Sabun,Pengeluaran Carwash,,85000,,,
0cd3726c,115,12/05/2026,08.59.07,Es batu,Pengeluaran Cafe,,5000,FALSE,,
5b88818a,116,12/05/2026,10.22.32,Raka,Casbon,,16000,,,
4d5418d9,117,12/05/2026,11.47.34,Cabe,Pengeluaran Cafe,,5000,FALSE,,
fd4731f3,118,12/05/2026,11.47.48,Tomat,Pengeluaran Cafe,,2000,FALSE,,
47731ff0,119,12/05/2026,11.48.04,Terasi,Pengeluaran Cafe,,1000,FALSE,,
093aa5e8,120,12/05/2026,11.48.17,Racik,Pengeluaran Cafe,,2000,FALSE,,
a0bf8782,121,12/05/2026,11.48.30,Maizena,Pengeluaran Cafe,,7000,FALSE,,
6e71c64f,122,12/05/2026,12.42.58,Belanja Badak,Pengeluaran Cafe,,135000,TRUE,MB-02,24
a50c7ea7,123,12/05/2026,12.44.29,Belanja Le Mineral,Pengeluaran Cafe,,48000,TRUE,MB-01,24
cd2c2166,124,12/05/2026,12.44.46,Minyak wak udin,Pengeluaran,,10000,,,
7c37099f,125,12/05/2026,12.51.24,Rondap,Pengeluaran,,5000,,,
2bc9b29a,126,12/05/2026,13.08.41,Bumbu,Pengeluaran Cafe,,3000,FALSE,,
58f9590d,127,12/05/2026,13.08.56,Telur,Pengeluaran Cafe,,8000,FALSE,,
fb820680,128,12/05/2026,13.10.24,Mie,Pengeluaran Cafe,,12000,FALSE,,
96d95093,129,12/05/2026,17.53.23,Kotak tisu,Pengeluaran Carwash,,700000,,,
02d259fa,130,12/05/2026,18.14.58,NOPAL,Casbon,,50000,,,
d1a7ea95,131,12/05/2026,18.15.48,Faisal,Casbon,,50000,,,
4aa0b7ee,132,13/05/2026,09.36.38,Esbatu,Pengeluaran Cafe,,5000,FALSE,,
22d32c17,133,13/05/2026,12.24.07,Angga,Casbon,,50000,,,
19b34ae8,134,13/05/2026,14.52.55,Esbatu,Pengeluaran Cafe,,5000,FALSE,,
88a3b148,135,13/05/2026,15.01.39,Sunlight,Pengeluaran,,9000,,,
0f71e47e,136,13/05/2026,16.18.40,Infaq,Pengeluaran,,60000,,,
f47c79fe,137,14/05/2026,09.10.51,Es batu,Pengeluaran Cafe,,5000,FALSE,,
b3f92430,138,14/05/2026,11.56.36,Safa,Casbon,,12000,,,
a2c1ae6e,139,14/05/2026,13.25.59,Lebih qris,Pengeluaran,,10000,,,
a0cfada2,140,15/05/2026,09.47.30,Es batu,Pengeluaran Cafe,,5000,FALSE,,
cdbd4437,141,15/05/2026,10.38.18,Angga,Casbon,,100000,,,
062126ff,142,15/05/2026,11.39.14,Galon,Pengeluaran Cafe,,30000,FALSE,,
9fbfdc84,143,15/05/2026,14.15.27,Ongkir biji kopi,Pengeluaran,,20000,,,
ee4bf525,144,15/05/2026,15.20.07,Bayar vacum,Pengeluaran,,25000,,,
808ab8a7,145,16/05/2026,11.02.19,Es batu,Pengeluaran Cafe,,5000,FALSE,,
61a3f4ed,146,16/05/2026,11.54.51,EZA,Casbon,,60000,,,
fda44635,147,16/05/2026,14.43.09,Sampah,Pengeluaran,,50000,,,
8473676b,148,16/05/2026,17.39.52,Selotip pipa,Pengeluaran,,5000,,,
52f5371e,149,17/05/2026,09.59.07,Es batu,Pengeluaran Cafe,,5000,FALSE,,
cbf041b2,150,17/05/2026,09.59.21,Belanja Gula Putih,Pengeluaran Cafe,,19000,TRUE,BK-04,1
33a2f68f,151,17/05/2026,13.21.09,Saklar,Pengeluaran,,60000,,,
7f43c0e4,152,17/05/2026,13.21.41,Minyak wak udin,Pengeluaran,,10000,,,
ca28834d,153,17/05/2026,15.17.02,Bayar tukang,Pengeluaran,,200000,,,
dfc5964c,154,17/05/2026,17.54.55,Lebih qris,Pengeluaran,,10000,,,
f08496e8,155,17/05/2026,17.58.33,Qris lebih,Pengeluaran,,5000,,,
1225c59f,156,17/05/2026,18.07.26,FERRY,Casbon,,100000,,,
636eaecf,157,18/05/2026,09.35.00,Es batu,Pengeluaran Cafe,,5000,FALSE,,
3ae69a17,158,18/05/2026,12.24.17,Ayam,Pengeluaran Cafe,,102000,FALSE,,
f1105683,159,18/05/2026,12.24.32,Cabe merah,Pengeluaran Cafe,,8000,FALSE,,
402f570d,160,18/05/2026,12.24.52,Rawit,Pengeluaran Cafe,,10000,FALSE,,
d65df45d,161,18/05/2026,12.25.06,Bawang putih,Pengeluaran Cafe,,4000,FALSE,,
5aeb47cf,162,18/05/2026,12.25.32,Bawang merah,Pengeluaran Cafe,,13000,FALSE,,
6ef087fc,163,18/05/2026,12.27.00,Tomat,Pengeluaran Cafe,,5000,FALSE,,
53fae13f,164,18/05/2026,12.27.19,Terasi,Pengeluaran Cafe,,3000,FALSE,,
b8efebfe,165,18/05/2026,12.27.51,Selada,Pengeluaran Cafe,,3000,FALSE,,
1654a8bf,166,18/05/2026,12.28.16,Timun,Pengeluaran Cafe,,5000,FALSE,,
1462fb33,167,18/05/2026,12.28.40,Bumbu ungkep,Pengeluaran Cafe,,5000,FALSE,,
37fe6445,168,18/05/2026,12.29.17,Kemiri,Pengeluaran Cafe,,2000,FALSE,,
c5c511e3,169,18/05/2026,12.29.28,Bawang putih bubuk,Pengeluaran Cafe,,3000,FALSE,,
5e7e1370,170,18/05/2026,15.20.48,Minyak makan,Pengeluaran Cafe,,6000,FALSE,,
e5d8867f,171,19/05/2026,09.27.59,Es batu,Pengeluaran Cafe,,5000,FALSE,,
e071b3d9,172,19/05/2026,11.52.49,Eza,Casbon,,30000,,,
8126dad6,173,19/05/2026,15.52.51,Safa,Casbon,,5000,,,
aab7cf96,174,20/05/2026,13.24.05,Es batu,Pengeluaran Cafe,Operasional,5000,FALSE,,
99b62eee,175,20/05/2026,10.12.48,Anak hekter,Pengeluaran Cafe,Operasional,2000,FALSE,,
36f097bf,176,20/05/2026,10.48.18,Eza,Casbon,Casbon,15000,,,
523e134f,177,20/05/2026,12.57.47,RAHMAN,Casbon,Casbon,100000,,,
ea1c9277,178,20/05/2026,13.37.20,Es batu,Pengeluaran Cafe,Operasional,5000,FALSE,,
224f9f2e,179,21/05/2026,09.22.10,Es batu,Pengeluaran Cafe,Operasional,5000,FALSE,,
089c82d8,180,21/05/2026,09.29.28,Selada,Pengeluaran Cafe,Operasional,5000,FALSE,,
c99b141d,181,21/05/2026,10.54.08,RAHMAN,Casbon,Casbon,100000,,,
5b1869a2,182,21/05/2026,11.24.10,Eza,Casbon,Casbon,10000,,,
133a9ced,183,21/05/2026,15.43.47,Es batu,Pengeluaran Cafe,Operasional,5000,FALSE,,
5278deb6,184,21/05/2026,15.44.08,Minyak wak udin,Pengeluaran,Operasional,12000,,,
758235f4,185,21/05/2026,15.44.38,Belanja Badak,Pengeluaran Cafe,Bahan Baku,135000,TRUE,MB-02,24
9320092a,186,21/05/2026,15.45.24,Belanja Le Mineral,Pengeluaran Cafe,Bahan Baku,48000,TRUE,MB-01,24
3f0a3f0c,187,21/05/2026,18.10.16,FERRY,Casbon,Casbon,100000,,,
dcb8a338,188,21/05/2026,18.11.43,Eza,Casbon,Casbon,50000,,,
0a9ca266,189,22/05/2026,08.49.33,Es batu,Pengeluaran Cafe,Operasional,10000,FALSE,,
5a52dea1,190,22/05/2026,08.49.46,Belanja Gula Putih,Pengeluaran Cafe,Bahan Baku,20000,TRUE,BK-04,1000
33763ec6,191,22/05/2026,08.54.49,Mama lemon,Pengeluaran Cafe,Operasional,10000,FALSE,,
e5c614d7,192,22/05/2026,09.21.26,Belanja Teh,Pengeluaran Cafe,Bahan Baku,7000,TRUE,BK-06,1
f6761d45,193,22/05/2026,09.21.39,Beras,Pengeluaran Cafe,Bahan Baku,158000,FALSE,,
5de9068e,194,22/05/2026,13.45.32,Sarung tangan,Pengeluaran Carwash,Barang,60000,,,
684f8913,195,22/05/2026,15.33.57,Bagus,Casbon,Casbon,30000,,,
4f9c7c4d,196,22/05/2026,16.27.31,Print menu,Pengeluaran,Operasional,100000,,,
bc638536,197,22/05/2026,17.58.12,NOPAL,Casbon,Casbon,50000,,,
29b8e45b,198,22/05/2026,17.58.54,Lebih qris,Pengeluaran,Operasional,40000,,,
06c67e84,199,22/05/2026,18.09.54,Bayar kipas,Pengeluaran,Operasional,350000,,,
94223611,200,23/05/2026,19.11.35,Bg raka,Casbon,Casbon,40000,,,
dd26860b,201,23/05/2026,15.54.09,Galon,Pengeluaran Cafe,Operasional,30000,FALSE,,
b3efa2a7,202,24/05/2026,08.51.46,Es batu,Pengeluaran Cafe,Operasional,10000,FALSE,,
461f06b1,203,24/05/2026,08.52.00,Foto copy kertas antrian,Pengeluaran Carwash,Operasional,5000,,,
bae300f7,204,24/05/2026,14.54.37,Safa,Casbon,Casbon,20000,,,
8f300519,205,25/05/2026,08.48.24,Belanja SKM,Pengeluaran Cafe,Bahan Baku,45000,TRUE,BK-02,3
91619ca6,206,25/05/2026,09.46.21,Racik,Pengeluaran Cafe,Operasional,2000,FALSE,,
5418001e,207,25/05/2026,09.46.58,Bumbu nasi goreng,Pengeluaran Cafe,Bahan Baku,5000,FALSE,,
0a0f89ec,208,25/05/2026,11.09.21,Sabun,Pengeluaran Carwash,Operasional,85000,,,
f164dc37,209,25/05/2026,11.56.29,Silikon oil,Pengeluaran Carwash,Operasional,80000,,,
5ca1c1e4,210,25/05/2026,18.09.40,Bg raka,Pengeluaran Carwash,Operasional,10000,,,
77628d33,211,25/05/2026,15.23.40,Faisal,Casbon,Casbon,20000,,,
de6d7de8,212,25/05/2026,18.01.54,Ongkir biji kopi,Pengeluaran Cafe,Bahan Baku,19000,TRUE,BK-01,1
b571c9a1,213,25/05/2026,18.09.58,Angga,Casbon,Casbon,150000,,,
664a8b84,214,25/05/2026,18.14.04,Vicky,Casbon,Casbon,100000,,,
62cbb0ae,215,26/05/2026,08.47.38,Es batu,Pengeluaran Cafe,Operasional,5000,FALSE,,
01a0bb56,216,26/05/2026,10.05.14,Bagus,Casbon,Casbon,100000,,,
ae3f07e2,217,26/05/2026,12.07.22,Nopal,Casbon,Casbon,50000,,,
42446d9e,218,26/05/2026,17.14.01,Ferri,Casbon,Casbon,100000,,,
c3688f5a,219,26/05/2026,17.24.49,Safa,Casbon,Casbon,200000,,,
c108a23a,220,29/05/2026,08.15.39,Es batu,Pengeluaran Cafe,Operasional,5000,FALSE,,
59f65705,221,29/05/2026,11.46.57,Belanja Gula Putih,Pengeluaran Cafe,Bahan Baku,18500,TRUE,BK-04,1
97094ac0,222,29/05/2026,12.58.54,Angga,Casbon,Casbon,50000,,,
208eaff9,223,29/05/2026,16.23.17,Minyak,Pengeluaran Cafe,Bahan Baku,21000,FALSE,,
0bc5fe36,224,29/05/2026,18.00.46,Kopi om igoy,Pengeluaran,Barang,19000,,,
bce0c945,225,30/05/2026,08.54.02,Es batu,Pengeluaran Cafe,Operasional,10000,FALSE,,
269bd880,226,30/05/2026,09.09.25,Sedotan,Pengeluaran Cafe,Barang,30000,FALSE,,
57745438,227,30/05/2026,10.20.41,Paku,Pengeluaran,Operasional,5000,,,
f2ba9f63,228,30/05/2026,11.10.41,Bagus,Casbon,Casbon,70000,,,
22d9cca0,229,30/05/2026,13.36.45,Sapu,Pengeluaran,Operasional,15000,,,
5d9e4580,230,30/05/2026,16.16.31,Minyak wak udin,Pengeluaran,Operasional,10000,,,
a1c41aba,231,30/05/2026,17.02.13,Lebih qris,Pengeluaran,Operasional,5000,,,
8a417fa1,232,30/05/2026,17.29.05,NOPAL,Casbon,Casbon,50000,,,
39a7957b,233,30/05/2026,18.25.00,Tisu,Pengeluaran Carwash,Bahan Baku,260000,,,
6f6a9c92,234,31/05/2026,09.12.31,Bg raka,Casbon,Casbon,20000,,,
bbab3091,235,31/05/2026,12.19.34,Safa,Casbon,Casbon,10000,,,
c709c84c,236,31/05/2026,12.57.26,Lebih Qris,Pengeluaran,Operasional,25000,,,
aa61d07c,237,31/05/2026,13.24.56,Lebih qris,Pengeluaran,Operasional,20000,,,
ab2a76d8,238,31/05/2026,14.57.10,Colokan,Pengeluaran,Barang,85000,,,
23391daf,239,31/05/2026,15.50.24,Kelebihan Qris,Pengeluaran,Operasional,25000,,,
f171e308,240,31/05/2026,16.41.55,Angga,Casbon,Casbon,50000,,,
234d2374,241,01/06/2026,09.29.20,Belanja SKM,Pengeluaran Cafe,Bahan Baku,45000,TRUE,BK-02,3
467ea840,242,01/06/2026,09.29.37,Galon,Pengeluaran Cafe,Operasional,30000,FALSE,,
4dcf0164,243,01/06/2026,10.02.58,Belanja Teh,Pengeluaran Cafe,Bahan Baku,20000,TRUE,BK-06,2
c8915e37,244,01/06/2026,10.36.12,Safa,Casbon,Casbon,5000,,,
addc2893,245,01/06/2026,11.02.12,Print,Pengeluaran,Operasional,1000,,,
610268aa,246,01/06/2026,12.25.47,Bagus,Casbon,Casbon,100000,,,
9abbe5d3,247,01/06/2026,14.26.14,"Selada, timun",Pengeluaran Cafe,Operasional,12000,FALSE,,
7006d090,248,01/06/2026,14.26.34,Sterofom,Pengeluaran Cafe,Operasional,8000,FALSE,,
cd412595,249,02/06/2026,09.39.49,Es batu,Pengeluaran Cafe,Operasional,10000,FALSE,,
28907673,250,02/06/2026,14.15.53,Belanja Badak,Pengeluaran Cafe,Bahan Baku,135000,TRUE,MB-02,24
e22ed25a,251,02/06/2026,14.16.33,Belanja Le Mineral,Pengeluaran Cafe,Bahan Baku,48000,TRUE,MB-01,24
b483c000,252,02/06/2026,14.23.34,Sabun,Pengeluaran Carwash,Bahan Baku,85000,,,
d2bd839c,253,02/06/2026,17.38.31,Eza,Casbon,Casbon,50000,,,
47cb0dd8,254,03/06/2026,10.08.28,Sunlight,Pengeluaran,Operasional,10000,,,
17f7e64c,255,03/06/2026,18.06.34,Ferri,Casbon,Barang,200000,,,
ae50b809,256,04/06/2026,10.37.28,Es batu,Pengeluaran Cafe,Operasional,10000,FALSE,,
088b1994,257,04/06/2026,10.37.42,Cabe merah,Pengeluaran Cafe,Bahan Baku,10000,FALSE,,
7f61ea46,258,04/06/2026,10.38.15,Caplak,Pengeluaran Cafe,Bahan Baku,12000,FALSE,,
3e800fbf,259,04/06/2026,10.38.33,Rawit,Pengeluaran Cafe,Bahan Baku,11000,FALSE,,
f9204cc7,260,04/06/2026,10.38.46,Timun,Pengeluaran Cafe,Bahan Baku,6000,FALSE,,
7010fa10,261,04/06/2026,10.38.59,Tomat,Pengeluaran Cafe,Bahan Baku,9000,FALSE,,
99482ff2,262,04/06/2026,10.39.13,Belanja Indomie Kuah,Pengeluaran Cafe,Bahan Baku,20000,TRUE,BMK-07,6
4785d0bc,263,04/06/2026,10.39.41,Belanja Telur satu papan (30 btr),Pengeluaran Cafe,Bahan Baku,53000,TRUE,BMK-10,30
6147c6b1,264,04/06/2026,11.09.55,Safa,Casbon,Casbon,30000,,,
cae7abe2,265,04/06/2026,14.54.17,Belanja Biji Kopi ( ongkir ),Pengeluaran Cafe,Bahan Baku,20000,TRUE,BK-01,3
3205f95f,266,04/06/2026,16.13.24,EZA,Casbon,Casbon,20000,,,
b77dd669,267,04/06/2026,16.14.39,Bayar kereta wak udin,Pengeluaran,Operasional,75000,,,
07433abf,268,04/06/2026,18.24.10,Upah angga,Pengeluaran,Operasional,50000,,,
43fbb8be,269,05/06/2026,07.34.49,Belanja Ayam (JANGAN DIHAPUS),pengeluaran Cafe,Bahan Baku,,TRUE,BMK-01,11
f7314016,270,05/06/2026,07.35.14,Belanja Minyak Goreng (JANGAN DIHAPUS),pengeluaran Cafe,Bahan Baku,,TRUE,BMK-09,590
5b512980,271,05/06/2026,10.04.38,Beli cup,pengeluaran Cafe,Operasional,20000,FALSE,,
1b0cbdd6,272,05/06/2026,10.04.57,Lebih qris,Pengeluaran,Operasional,10000,,,
72b9d841,273,05/06/2026,10.42.56,Belanja Gula Putih,pengeluaran Cafe,Bahan Baku,19000,TRUE,BK-04,1
576c56d9,274,06/06/2026,10.32.30,Minyak raka,Pengeluaran,Operasional,13000,,,
600bb512,275,06/06/2026,12.06.14,Bagus,Casbon,Casbon,50000,,,
bd2c76f0,276,06/06/2026,15.54.15,NOPAL,Casbon,Casbon,50000,,,
018d9044,277,07/06/2026,09.01.44,Es batu,pengeluaran Cafe,Operasional,10000,FALSE,,
af51ee82,278,07/06/2026,14.04.32,Belanja SKM,pengeluaran Cafe,Bahan Baku,61000,TRUE,BK-02,4
0447786c,279,07/06/2026,14.28.12,EZA,Casbon,Casbon,20000,,,
62cac119,280,08/06/2026,11.39.58,Safa,Casbon,Casbon,70000,,,
5204b69f,281,08/06/2026,15.06.08,NOPAL,Casbon,Casbon,50000,,,
7d96eaf1,282,09/06/2026,10.05.05,Esbatu,pengeluaran Carwash,Operasional,10000,,,
3f8fbd7f,283,09/06/2026,10.05.21,Galon,pengeluaran Cafe,Operasional,30000,TRUE,,1
57f41b7c,284,09/06/2026,15.40.37,Lebih qris,Pengeluaran,Operasional,25000,,,
c10dfd41,285,10/06/2026,09.33.21,Foto copy kertas antrian,pengeluaran Carwash,Operasional,5000,,,
e7aa4f84,286,10/06/2026,12.34.05,Belanja Teh,pengeluaran Cafe,Bahan Baku,20000,TRUE,BK-06,2
9babd339,287,10/06/2026,13.31.08,Bagus,Casbon,Casbon,98000,,,
31786ae5,288,10/06/2026,16.44.11,Nopal,Casbon,Casbon,50000,,,
eff58be9,289,11/06/2026,11.29.02,Gass,pengeluaran Cafe,Barang,40000,TRUE,,2
d3155884,290,11/06/2026,12.26.44,Belanja Indomie Goreng,pengeluaran Cafe,Bahan Baku,20000,TRUE,BMK-08,6
