ID_Keluar (Key),Tanggal,ID_Detail,ID Bahan Baku,Nama Bahan Baku,Jumlah_Keluar
593183bc,05/13/2026 00:00:00,bc9f11a9,BK-02,SKM,25
08188aa4,05/13/2026 00:00:00,2dc6ea93,BK-06,Teh,1
f5725feb,05/13/2026 00:00:00,2dc6ea93,BK-04,Gula Putih,25
ed43515e,05/13/2026 00:00:00,6d6c63b8,MB-02,Badak,1
3d7ab9c7,05/13/2026 00:00:00,6d6c63b8,BK-02,SKM,30
a51f7796,05/13/2026 00:00:00,04cd189e,MB-01,Le Mineral,1
fc1c887b,05/13/2026 00:00:00,90f4c42b,MB-02,Badak,2
ecef8f75,05/13/2026 00:00:00,cf9cd209,MB-02,Badak,1
495eee91,05/13/2026 00:00:00,cf9cd209,BK-02,SKM,30
,,,,,
3a2b5414,05/13/2026 00:00:00,ed22251f,MB-01,Le Mineral,1
9cc55ad9,05/13/2026 00:00:00,c90aa572,MB-02,Badak,1
9659057a,05/13/2026 00:00:00,987eb267,BK-06,Teh,1
ea9c57a2,05/13/2026 00:00:00,987eb267,BK-04,Gula Putih,25
1d319e4b,05/13/2026 00:00:00,2a04db1f,BK-01,Biji Kopi,18
14a534fa,05/13/2026 00:00:00,096c0f1f,BK-01,Biji Kopi,18
15d265d8,05/13/2026 00:00:00,ba27729a,MB-01,Le Mineral,1
6d92cdf3,05/13/2026 00:00:00,2173ec7c,BK-01,Biji Kopi,18
258e176d,05/13/2026 00:00:00,f54a63d5,MB-01,Le Mineral,1
fa71ba07,05/14/2026 00:00:00,6be6fa36,MB-02,Badak,1
8c6c219b,05/14/2026 00:00:00,6be6fa36,BK-02,SKM,30
93c36c3a,05/14/2026 00:00:00,f39ef73e,BK-06,Teh,1
8b2b7acf,05/14/2026 00:00:00,f39ef73e,BK-04,Gula Putih,25
860d9cf8,05/14/2026 00:00:00,45ed50d9,BK-01,Biji Kopi,18
e58c31e9,05/14/2026 00:00:00,d1e839e4,BK-06,Teh,1
bb99e85b,05/14/2026 00:00:00,d1e839e4,BK-04,Gula Putih,25
8bb1509c,05/14/2026 00:00:00,1f4c85b9,MB-02,Badak,1
1c9c9d10,05/14/2026 00:00:00,de71a313,BK-01,Biji Kopi,18
af62efa0,05/14/2026 00:00:00,de71a313,BK-02,SKM,25
c7a69082,05/14/2026 00:00:00,acf2ac80,MB-02,Badak,1
246be1cc,05/14/2026 00:00:00,ac0b1e08,MB-01,Le Mineral,1
2bc63197,05/14/2026 00:00:00,66c93dd2,BK-01,Biji Kopi,18
6b564f18,05/14/2026 00:00:00,66c93dd2,BK-02,SKM,25
d875c167,05/14/2026 00:00:00,c94a6f35,BK-06,Teh,1
a32cbc53,05/14/2026 00:00:00,c94a6f35,BK-04,Gula Putih,25
62eab9b7,05/14/2026 00:00:00,dfcc1ef0,BK-06,Teh,2
d96d6ed8,05/14/2026 00:00:00,dfcc1ef0,BK-04,Gula Putih,50
a6765194,05/14/2026 00:00:00,9f80761f,BK-01,Biji Kopi,18
fe987d56,05/14/2026 00:00:00,9f80761f,BK-02,SKM,25
b1c34d2f,05/14/2026 00:00:00,ab4938fc,MB-01,Le Mineral,1
6405dc80,05/14/2026 00:00:00,67c8a1a7,BK-01,Biji Kopi,18
d6f6fc98,05/14/2026 00:00:00,67c8a1a7,BK-02,SKM,25
860adef1,05/14/2026 00:00:00,b270e5e4,MB-02,Badak,1
a0345bcb,05/14/2026 00:00:00,b270e5e4,BK-02,SKM,30
a467ba77,05/14/2026 00:00:00,eace0522,MB-02,Badak,1
2ca4c88e,05/14/2026 00:00:00,5118e0af,MB-01,Le Mineral,1
16988929,05/14/2026 00:00:00,22ed291c,MB-02,Badak,1
7a654947,05/14/2026 00:00:00,22ed291c,BK-02,SKM,30
e4ddbb41,05/14/2026 00:00:00,a597d8df,MB-02,Badak,1
17604ff3,05/14/2026 00:00:00,6408b50f,BK-01,Biji Kopi,18
ad12f738,05/15/2026 00:00:00,8d6a157f,MB-01,Le Mineral,1
d115b0f3,05/15/2026 00:00:00,e6cb0e21,MB-01,Le Mineral,1
2b08f864,05/15/2026 00:00:00,98d5f3c7,BK-01,Biji Kopi,18
3d74aa31,05/15/2026 00:00:00,98d5f3c7,BK-02,SKM,25
5740819f,05/15/2026 00:00:00,ec030ccc,BK-01,Biji Kopi,18
db361087,05/15/2026 00:00:00,ec030ccc,BK-02,SKM,25
84638087,05/15/2026 00:00:00,c102ff5f,BK-06,Teh,1
a420582e,05/15/2026 00:00:00,c102ff5f,BK-04,Gula Putih,25
5bb7ce2c,05/15/2026 00:00:00,4ab7d5f8,MB-02,Badak,1
20a1a93a,05/15/2026 00:00:00,4ab7d5f8,BK-02,SKM,30
56eda0dd,05/15/2026 00:00:00,ef9a5da4,BK-01,Biji Kopi,18
9c7ad8e1,05/15/2026 00:00:00,ef9a5da4,BK-02,SKM,25
3869cd9c,05/15/2026 00:00:00,26b32bdc,BK-01,Biji Kopi,18
deea1cc6,05/15/2026 00:00:00,26b32bdc,BK-02,SKM,25
a8f3c1d8,05/15/2026 00:00:00,47633f15,BK-01,Biji Kopi,18
ac2bc401,05/15/2026 00:00:00,47633f15,BK-02,SKM,25
6d276ad6,05/15/2026 00:00:00,173868da,BK-01,Biji Kopi,18
b64f46ac,05/15/2026 00:00:00,173868da,BK-02,SKM,25
a386c1c0,05/15/2026 00:00:00,8e394d46,BK-01,Biji Kopi,18
ddbfe81a,05/15/2026 00:00:00,8e394d46,BK-02,SKM,25
dd359a9c,05/15/2026 00:00:00,48dc1708,BK-01,Biji Kopi,180
63b9d765,05/16/2026 00:00:00,77b06eb3,BK-01,Biji Kopi,18
a1b0389c,05/16/2026 00:00:00,77b06eb3,BK-02,SKM,25
1ceaf91c,05/16/2026 00:00:00,9aea72bb,BK-06,Teh,1
8599c835,05/16/2026 00:00:00,9aea72bb,BK-04,Gula Putih,25
068fd4ab,05/16/2026 00:00:00,a08c5b77,BK-01,Biji Kopi,18
9e19fe00,05/16/2026 00:00:00,a08c5b77,BK-02,SKM,25
55f9a4ef,05/16/2026 00:00:00,99cc1d98,MB-01,Le Mineral,1
c6e58a52,05/16/2026 00:00:00,8902c050,MB-01,Le Mineral,1
1e14c051,05/16/2026 00:00:00,1f0b5bce,BK-01,Biji Kopi,18
c29ebc66,05/16/2026 00:00:00,1f0b5bce,BK-02,SKM,25
3f0eb6f4,05/17/2026 00:00:00,ff35f5c7,MB-01,Le Mineral,1
ca3595a3,05/17/2026 00:00:00,df3f3d54,MB-01,Le Mineral,1
c144c4f0,05/17/2026 00:00:00,b1a59f22,BK-06,Teh,1
4503364c,05/17/2026 00:00:00,b1a59f22,BK-04,Gula Putih,25
54b9753c,05/17/2026 00:00:00,4ff3a0ae,BK-06,Teh,1
b860043d,05/17/2026 00:00:00,4ff3a0ae,BK-04,Gula Putih,25
,,,,,
80da5a31,05/17/2026 00:00:00,1bd9796e,BK-01,Biji Kopi,18
c0c61269,05/17/2026 00:00:00,1bd9796e,BK-02,SKM,25
e98fcb8e,05/17/2026 00:00:00,15bfcf2c,MB-01,Le Mineral,1
0789ec22,05/17/2026 00:00:00,34e22d0d,MB-02,Badak,1
4aaba45e,05/17/2026 00:00:00,34e22d0d,BK-02,SKM,30
7968d7a8,05/17/2026 00:00:00,fc3dd661,BK-01,Biji Kopi,18
ff2d3b65,05/17/2026 00:00:00,cf7a71bc,BK-01,Biji Kopi,18
79d829db,05/17/2026 00:00:00,cf7a71bc,BK-02,SKM,25
f726466d,05/17/2026 00:00:00,2199c39a,MB-01,Le Mineral,1
9fd00e60,05/17/2026 00:00:00,10de5ce6,BK-01,Biji Kopi,18
7de83ea0,05/17/2026 00:00:00,10de5ce6,BK-02,SKM,25
ed700df1,05/17/2026 00:00:00,e0b07089,BK-01,Biji Kopi,18
1a3c7bf8,05/17/2026 00:00:00,ec272979,MB-02,Badak,1
dd9b48c7,05/17/2026 00:00:00,ec350336,BK-01,Biji Kopi,18
aaab75f0,05/17/2026 00:00:00,5a007b7d,BK-01,Biji Kopi,18
e3273bb3,05/17/2026 00:00:00,5a007b7d,BK-02,SKM,25
c79b4759,05/18/2026 00:00:00,0ee34b3c,BK-06,Teh,1
178dc60a,05/18/2026 00:00:00,0ee34b3c,BK-04,Gula Putih,25
358722df,05/18/2026 00:00:00,877ac7cb,BK-06,Teh,2
a1ebff08,05/18/2026 00:00:00,877ac7cb,BK-04,Gula Putih,50
41b1bb93,05/18/2026 00:00:00,646fd5f7,BK-01,Biji Kopi,18
add5cd79,05/18/2026 00:00:00,646fd5f7,BK-02,SKM,25
36ab3bd3,05/18/2026 00:00:00,7c2de544,BK-01,Biji Kopi,18
2d48887a,05/18/2026 00:00:00,7c2de544,BK-02,SKM,25
77ef9114,05/18/2026 00:00:00,0fda71ae,BK-01,Biji Kopi,18
77f0658d,05/18/2026 00:00:00,0fda71ae,BK-02,SKM,25
41962738,05/18/2026 00:00:00,d2855247,BK-01,Biji Kopi,18
cdd2050e,05/19/2026 00:00:00,aa1747ea,BK-06,Teh,1
3ac19709,05/19/2026 00:00:00,aa1747ea,BK-04,Gula Putih,25
1958650a,05/19/2026 00:00:00,0b17a74b,BK-01,Biji Kopi,18
75bfc452,05/19/2026 00:00:00,0b17a74b,BK-02,SKM,25
120c03e9,05/19/2026 00:00:00,b7943c98,MB-02,Badak,1
c30e7cee,05/19/2026 00:00:00,b7943c98,BK-02,SKM,30
c6389383,05/19/2026 00:00:00,971899c4,MB-02,Badak,1
94d25d91,05/19/2026 00:00:00,542d1062,MB-02,Badak,1
b79aac75,05/19/2026 00:00:00,542d1062,BK-02,SKM,30
19ec4514,05/19/2026 00:00:00,452c35d8,BK-01,Biji Kopi,36
2d388596,05/19/2026 00:00:00,452c35d8,BK-02,SKM,50
df276ace,05/20/2026 00:00:00,77a1435d,BK-01,Biji Kopi,18
9df47524,05/20/2026 00:00:00,77a1435d,BK-02,SKM,25
5eb1198e,05/20/2026 00:00:00,38308c62,BK-01,Biji Kopi,36
9cf64fdf,05/20/2026 00:00:00,38308c62,BK-02,SKM,50
96344948,05/20/2026 00:00:00,c60974b7,MB-01,Le Mineral,1
74753f4a,05/20/2026 00:00:00,381c3ff8,BK-01,Biji Kopi,18
5861d75e,05/20/2026 00:00:00,381c3ff8,BK-02,SKM,25
410be299,05/20/2026 00:00:00,573862cf,BK-01,Biji Kopi,36
dcbee17b,05/20/2026 00:00:00,573862cf,BK-02,SKM,50
e9d30c00,05/20/2026 00:00:00,9f0f9e73,MB-02,Badak,1
cf325bf0,05/20/2026 00:00:00,0fd8680d,BK-01,Biji Kopi,18
6536a5d2,05/20/2026 00:00:00,0fd8680d,BK-02,SKM,25
5f0aa858,05/20/2026 00:00:00,ef2591de,BK-06,Teh,2
501ef4aa,05/20/2026 00:00:00,ef2591de,BK-04,Gula Putih,50
08cdca18,05/20/2026 00:00:00,0f000a50,BK-01,Biji Kopi,18
872aa8f0,05/20/2026 00:00:00,0f000a50,BK-02,SKM,25
9bdc3506,05/21/2026 00:00:00,8272cb7a,BK-01,Biji Kopi,18
f9382c3d,05/21/2026 00:00:00,8272cb7a,BK-02,SKM,25
612d45ab,05/21/2026 00:00:00,73bb8625,BK-01,Biji Kopi,18
0a8dd288,05/21/2026 00:00:00,be601d6e,BK-01,Biji Kopi,18
a0d36c33,05/21/2026 00:00:00,0f86de7f,BK-01,Biji Kopi,18
6088a7f1,05/26/2026 00:00:00,fa39a835,BK-06,Teh,1
09b6ab8a,05/26/2026 00:00:00,fa39a835,BK-04,Gula Putih,25
387a6914,05/26/2026 00:00:00,e0a01924,BK-06,Teh,1
6604f997,05/26/2026 00:00:00,e0a01924,BK-04,Gula Putih,25
269ab284,05/26/2026 00:00:00,153a8027,MB-01,Le Mineral,2
a17998fd,05/26/2026 00:00:00,1d1fa2e0,MB-02,Badak,1
d9f90835,05/26/2026 00:00:00,50dbbc13,MB-01,Le Mineral,1
c67e8ba2,05/26/2026 00:00:00,7e1e73de,MB-01,Le Mineral,1
78a14954,05/26/2026 00:00:00,dbebcfdf,BK-06,Teh,1
a5aa3a5b,05/26/2026 00:00:00,dbebcfdf,BK-04,Gula Putih,25
a747ec21,05/26/2026 00:00:00,11ee00ca,MB-01,Le Mineral,1
f02317b3,05/26/2026 00:00:00,684f6b1a,MB-02,Badak,1
f29fcde7,05/26/2026 00:00:00,d645a39f,MB-02,Badak,1
dfbd2f06,05/26/2026 00:00:00,f5a20b59,BK-01,Biji Kopi,54
c2c0e82b,05/26/2026 00:00:00,f5a20b59,BK-02,SKM,75
72da2382,05/26/2026 00:00:00,4b2f3c6c,BK-01,Biji Kopi,18
c2d9944e,05/26/2026 00:00:00,54fa9ea7,MB-01,Le Mineral,1
3ae896c5,05/26/2026 00:00:00,a81bd421,MB-01,Le Mineral,1
9a70364b,05/29/2026 00:00:00,b52f24ec,BK-06,Teh,2
c8ada3b8,05/29/2026 00:00:00,b52f24ec,BK-04,Gula Putih,50
d186c5c6,05/29/2026 00:00:00,e7fbdb18,MB-01,Le Mineral,1
0c6f203b,05/29/2026 00:00:00,84fc39b4,BK-01,Biji Kopi,18
f00b710c,05/29/2026 00:00:00,84fc39b4,BK-02,SKM,25
97f004e5,05/29/2026 00:00:00,cb5c48c5,MB-02,Badak,1
8ba12566,05/29/2026 00:00:00,cc6a4ff6,BK-06,Teh,1
55c04fe9,05/29/2026 00:00:00,cc6a4ff6,BK-04,Gula Putih,25
40d170cf,05/29/2026 00:00:00,1377046e,MB-01,Le Mineral,1
,,,,,
cfa183eb,05/29/2026 00:00:00,927c48e5,BK-01,Biji Kopi,18
434e0a27,05/29/2026 00:00:00,927c48e5,BK-02,SKM,25
cfddd31c,05/29/2026 00:00:00,78973828,BK-01,Biji Kopi,18
985b5120,05/29/2026 00:00:00,78973828,BK-02,SKM,25
fea3a128,05/29/2026 00:00:00,6d02fdb6,BK-01,Biji Kopi,18
afd68e13,05/29/2026 00:00:00,6d02fdb6,BK-02,SKM,25
afab84d6,05/29/2026 00:00:00,dd21092c,BK-01,Biji Kopi,18
bbe651c7,05/29/2026 00:00:00,dd21092c,BK-02,SKM,25
6cd89faf,05/29/2026 00:00:00,a8a052ea,BK-01,Biji Kopi,36
259438a0,05/29/2026 00:00:00,a8a052ea,BK-02,SKM,50
d0817622,05/29/2026 00:00:00,7c644760,MB-01,Le Mineral,1
c58ab91a,05/29/2026 00:00:00,80c65e9e,BK-01,Biji Kopi,18
e08cbfbc,05/29/2026 00:00:00,80c65e9e,BK-02,SKM,25
aabf0683,05/29/2026 00:00:00,4db33986,BK-01,Biji Kopi,18
b4d45f57,05/29/2026 00:00:00,c9d8dad6,BK-06,Teh,1
e46794fb,05/29/2026 00:00:00,c9d8dad6,BK-04,Gula Putih,25
3be5b3aa,05/29/2026 00:00:00,15ce9268,BK-01,Biji Kopi,18
e3248a91,05/29/2026 00:00:00,15ce9268,BK-02,SKM,25
3d2d80c0,05/30/2026 00:00:00,c33cfe3c,BK-06,Teh,1
e81720eb,05/30/2026 00:00:00,c33cfe3c,BK-04,Gula Putih,25
7a307a4c,05/30/2026 00:00:00,00a2a087,BK-01,Biji Kopi,18
8e3d451f,05/30/2026 00:00:00,00a2a087,BK-02,SKM,25
36b5f7e5,05/30/2026 00:00:00,3deb4767,BK-01,Biji Kopi,36
ba5ca41a,05/30/2026 00:00:00,7b04a5d9,BK-01,Biji Kopi,18
a3fdbf33,05/30/2026 00:00:00,89ae339f,MB-01,Le Mineral,1
ce2c1b30,05/30/2026 00:00:00,c1f2fb89,BK-01,Biji Kopi,18
92d28de4,05/30/2026 00:00:00,c1f2fb89,BK-02,SKM,25
792510f4,05/30/2026 00:00:00,e2bf768d,BK-06,Teh,1
a03641ed,05/30/2026 00:00:00,e2bf768d,BK-04,Gula Putih,25
f0a7ac2c,05/30/2026 00:00:00,f80873ee,BK-06,Teh,1
84d7b57b,05/30/2026 00:00:00,f80873ee,BK-04,Gula Putih,25
9b271d3d,05/30/2026 00:00:00,77f694eb,BK-06,Teh,1
1a6ea764,05/30/2026 00:00:00,77f694eb,BK-04,Gula Putih,25
a00fcab0,05/30/2026 00:00:00,b3c78171,MB-01,Le Mineral,1
880c43ba,05/30/2026 00:00:00,768129c3,BK-01,Biji Kopi,18
88b65170,05/30/2026 00:00:00,b4868575,MB-02,Badak,2
b9e738d7,05/30/2026 00:00:00,ccf56c39,BK-01,Biji Kopi,18
1be5e25b,05/30/2026 00:00:00,ccf56c39,BK-02,SKM,25
82598638,05/30/2026 00:00:00,f877b675,MB-02,Badak,1
3249c092,05/30/2026 00:00:00,9ada383c,BK-01,Biji Kopi,18
95d41e42,05/30/2026 00:00:00,358809fe,BK-01,Biji Kopi,18
,,,,,
,,,,,
486250db,05/30/2026 00:00:00,1c9ec410,BK-01,Biji Kopi,18
ca329ba1,05/30/2026 00:00:00,1c9ec410,BK-02,SKM,25
1fe7e26c,05/31/2026 00:00:00,42115803,BK-01,Biji Kopi,18
79f4b0ad,05/31/2026 00:00:00,42115803,BK-02,SKM,25
4627e64d,05/31/2026 00:00:00,5196fdf3,MB-02,Badak,1
2f6917b8,05/31/2026 00:00:00,5196fdf3,BK-02,SKM,30
9c5fd9e8,05/31/2026 00:00:00,fa3fe418,BK-01,Biji Kopi,18
e287ccf5,05/31/2026 00:00:00,fa3fe418,BK-02,SKM,25
6fc559bf,05/31/2026 00:00:00,c4b3ce25,MB-01,Le Mineral,1
562c2b38,05/31/2026 00:00:00,2f4b0629,BK-01,Biji Kopi,18
096160a0,05/31/2026 00:00:00,2f4b0629,BK-02,SKM,25
4f5933c5,05/31/2026 00:00:00,6f035a72,BK-01,Biji Kopi,18
dede5a48,05/31/2026 00:00:00,6f035a72,BK-02,SKM,25
a87c2feb,05/31/2026 00:00:00,50388fac,MB-02,Badak,1
a2ce6b21,05/31/2026 00:00:00,cfc5b954,BK-01,Biji Kopi,18
d072706b,05/31/2026 00:00:00,cfc5b954,BK-02,SKM,25
2a350dd7,05/31/2026 00:00:00,7f29a7aa,MB-01,Le Mineral,1
cf515306,05/31/2026 00:00:00,a63d446d,BK-01,Biji Kopi,18
b18232a7,05/31/2026 00:00:00,a63d446d,BK-02,SKM,25
76adc517,05/31/2026 00:00:00,cdb3a2b2,MB-01,Le Mineral,1
68045252,05/31/2026 00:00:00,e6b260a9,BK-01,Biji Kopi,18
187f5d58,05/31/2026 00:00:00,e6b260a9,BK-02,SKM,25
bd3fdf5a,05/31/2026 00:00:00,c4bbce31,BK-01,Biji Kopi,18
41ebac90,05/31/2026 00:00:00,c4bbce31,BK-02,SKM,25
06bbc71a,05/31/2026 00:00:00,63f99715,MB-01,Le Mineral,3
105a86f6,05/31/2026 00:00:00,d16a6a0e,MB-01,Le Mineral,1
d80d26d7,06/01/2026 00:00:00,1659c98b,BK-06,Teh,1
5e5f4bdb,06/01/2026 00:00:00,1659c98b,BK-04,Gula Putih,25
4b3399ac,06/01/2026 00:00:00,ffa0fbc6,BK-06,Teh,1
aa40da58,06/01/2026 00:00:00,ffa0fbc6,BK-04,Gula Putih,25
915243f0,06/01/2026 00:00:00,5b381264,BK-01,Biji Kopi,36
d5af10e2,06/01/2026 00:00:00,5b381264,BK-02,SKM,50
d8279660,06/01/2026 00:00:00,80019d84,BK-01,Biji Kopi,36
533c721c,06/01/2026 00:00:00,80019d84,BK-02,SKM,50
5f40f9ba,06/01/2026 00:00:00,aa77e554,BK-01,Biji Kopi,18
82265b1c,06/01/2026 00:00:00,aa77e554,BK-02,SKM,25
cc3a40d6,06/01/2026 00:00:00,6196c0be,BK-01,Biji Kopi,36
f731c5e2,06/01/2026 00:00:00,6196c0be,BK-02,SKM,50
e2a7dcb2,06/01/2026 00:00:00,23289d25,BK-01,Biji Kopi,18
f28cfb5e,06/01/2026 00:00:00,92cdf76c,BK-06,Teh,1
c650274b,06/01/2026 00:00:00,92cdf76c,BK-04,Gula Putih,25
b2a2ba56,06/01/2026 00:00:00,aa03837d,BK-01,Biji Kopi,18
12536ce1,06/01/2026 00:00:00,aa03837d,BK-02,SKM,25
233cf73e,06/01/2026 00:00:00,4b5a6f2a,BK-01,Biji Kopi,18
a4bcb053,06/01/2026 00:00:00,4b5a6f2a,BK-02,SKM,25
515af294,06/01/2026 00:00:00,a8b9333a,BK-01,Biji Kopi,18
8f74ec94,06/01/2026 00:00:00,a8b9333a,BK-02,SKM,25
e5d773a5,06/01/2026 00:00:00,6f5da3a0,MB-02,Badak,1
7b4d3a0c,06/01/2026 00:00:00,b6dea299,MB-01,Le Mineral,1
8fd918b8,06/01/2026 00:00:00,b8298b0a,MB-02,Badak,1
7ece44bd,06/01/2026 00:00:00,c8a72040,BK-01,Biji Kopi,18
c6c575d8,06/01/2026 00:00:00,c8a72040,BK-02,SKM,25
bb13cd52,06/01/2026 00:00:00,6b29c321,BK-01,Biji Kopi,18
46116f54,06/01/2026 00:00:00,6b29c321,BK-02,SKM,25
7ad8335a,06/01/2026 00:00:00,43ea7950,BK-01,Biji Kopi,18
c5e51628,06/01/2026 00:00:00,1750cca4,MB-02,Badak,2
42df8f0e,06/01/2026 00:00:00,0de7317a,MB-01,Le Mineral,1
7a74070a,06/02/2026 00:00:00,c42cec39,MB-01,Le Mineral,1
71ba5a38,06/02/2026 00:00:00,5d5a0761,BK-06,Teh,1
52542ce3,06/02/2026 00:00:00,5d5a0761,BK-04,Gula Putih,25
60846d83,06/02/2026 00:00:00,0b332104,BMK-04,Nugget,100
c94f257c,06/02/2026 00:00:00,0b332104,BMK-09,Minyak Goreng,10
22153f7e,06/02/2026 00:00:00,f009682a,BK-01,Biji Kopi,18
56c0f25b,06/02/2026 00:00:00,f009682a,BK-02,SKM,25
584c24ff,06/02/2026 00:00:00,e9a8bc7f,MB-02,Badak,1
fbf15eaa,06/02/2026 00:00:00,e9a8bc7f,BK-02,SKM,30
e7012b0d,06/02/2026 00:00:00,e965119f,BK-01,Biji Kopi,18
f0f1bf5c,06/02/2026 00:00:00,e965119f,BK-02,SKM,25
e43356eb,06/02/2026 00:00:00,ea780886,MB-02,Badak,1
ac6b99cb,06/02/2026 00:00:00,ea780886,BK-02,SKM,30
6ae6198d,06/02/2026 00:00:00,e105fbdb,BK-01,Biji Kopi,18
894db250,06/02/2026 00:00:00,e105fbdb,BK-02,SKM,25
e3b9c60d,06/02/2026 00:00:00,d291b891,BK-01,Biji Kopi,18
2a144d25,06/02/2026 00:00:00,d291b891,BK-02,SKM,25
f1f36d72,06/02/2026 00:00:00,4b6aefe6,BK-06,Teh,2
6ea52b84,06/02/2026 00:00:00,4b6aefe6,BK-04,Gula Putih,50
f6883215,06/02/2026 00:00:00,4d323313,BMK-01,Ayam,2
3752bfec,06/02/2026 00:00:00,4d323313,BMK-02,Nasi,200
7d193840,06/02/2026 00:00:00,4d323313,BMK-09,Minyak Goreng,20
949c0a72,06/02/2026 00:00:00,4d323313,BMK-09,Minyak Goreng,20
dd75ed5d,06/03/2026 00:00:00,a94cd737,MB-01,Le Mineral,1
9b451ba2,06/03/2026 00:00:00,25cc4cb7,BK-01,Biji Kopi,18
6d1a4b58,06/03/2026 00:00:00,25cc4cb7,BK-02,SKM,25
64b3166e,06/03/2026 00:00:00,d413e1ba,MB-01,Le Mineral,1
418201ba,06/03/2026 00:00:00,b6a4774c,BK-01,Biji Kopi,18
d5414f8e,06/03/2026 00:00:00,b6a4774c,BK-02,SKM,25
197a4856,06/03/2026 00:00:00,4664b226,BK-06,Teh,1
ee27db5b,06/03/2026 00:00:00,4664b226,BK-04,Gula Putih,25
81114c61,06/03/2026 00:00:00,4f19e311,MB-02,Badak,1
2757a404,06/03/2026 00:00:00,ebc82d1c,BMK-04,Nugget,100
58986d38,06/03/2026 00:00:00,ebc82d1c,BMK-09,Minyak Goreng,10
0b582fff,06/03/2026 00:00:00,89057379,BK-01,Biji Kopi,18
65f831f4,06/04/2026 00:00:00,a72591b5,BK-01,Biji Kopi,18
97fcc425,06/04/2026 00:00:00,a72591b5,BK-02,SKM,25
6aed713c,06/04/2026 00:00:00,d8490604,BK-06,Teh,1
4a07d826,06/04/2026 00:00:00,d8490604,BK-04,Gula Putih,25
8444eedc,06/04/2026 00:00:00,8f27082c,BK-01,Biji Kopi,18
f51e8615,06/04/2026 00:00:00,8f27082c,BK-05,Susu UHT,100
f01414d7,06/04/2026 00:00:00,5fdabe16,BMK-05,Sosis,4
24a2368f,06/04/2026 00:00:00,5fdabe16,BMK-09,Minyak Goreng,10
4a0341c6,06/05/2026 00:00:00,fd8a539d,BK-01,Biji Kopi,18
3920f95d,06/05/2026 00:00:00,570adfd4,BK-01,Biji Kopi,36
bf8b56c1,06/05/2026 00:00:00,570adfd4,BK-02,SKM,50
f80549bc,06/05/2026 00:00:00,64b4f770,BMK-08,Indomie Goreng,2
99fcac51,06/05/2026 00:00:00,64b4f770,BMK-09,Minyak Goreng,20
d51e4275,06/05/2026 00:00:00,64b4f770,BMK-10,Telur,2
21ea3bd8,06/05/2026 00:00:00,254e242c,BK-01,Biji Kopi,18
c6fcd920,06/05/2026 00:00:00,254e242c,BK-02,SKM,25
5acb87f2,06/05/2026 00:00:00,d7211494,MB-01,Le Mineral,1
a717ea20,06/05/2026 00:00:00,80de9c88,MB-02,Badak,1
e36989df,06/05/2026 00:00:00,62be1ccc,BK-06,Teh,2
24022ae9,06/05/2026 00:00:00,62be1ccc,BK-04,Gula Putih,50
7f561049,06/05/2026 00:00:00,5a3c1eee,BK-01,Biji Kopi,18
e7704bf6,06/05/2026 00:00:00,5a3c1eee,BK-02,SKM,25
d2a3a4a3,06/05/2026 00:00:00,d9913ec5,BK-06,Teh,2
361f1053,06/05/2026 00:00:00,d9913ec5,BK-04,Gula Putih,50
